ending1,ending2,labels,startphrase,instruction_column
Tanggung jawabnya berat.,Tanggung jawabnya ringan.,1,Tanggung jawab Dian seringan daun yang dihembus angin.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tanggung jawab Dian seringan daun yang dihembus angin., Options: 0) Tanggung jawabnya berat. 1) Tanggung jawabnya ringan."
"Setelah ia datang, keadaan semakin buruk.","Setelah ia datang, keadaan semakin baik.",0,"Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur., Options: 0) Setelah ia datang, keadaan semakin buruk. 1) Setelah ia datang, keadaan semakin baik."
"Setelah ia datang, keadaan semakin buruk.","Setelah ia datang, keadaan semakin baik.",1,"Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan., Options: 0) Setelah ia datang, keadaan semakin buruk. 1) Setelah ia datang, keadaan semakin baik."
Sekolahnya jauh.,Sekolahnya dekat.,0,Jarak rumah ke sekolahnya sejauh menyebrangi samudra.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jarak rumah ke sekolahnya sejauh menyebrangi samudra., Options: 0) Sekolahnya jauh. 1) Sekolahnya dekat."
Sekolahnya jauh.,Sekolahnya dekat.,1,Jarak rumah ke sekolahnya sejauh rumah tetangga.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Jarak rumah ke sekolahnya sejauh rumah tetangga., Options: 0) Sekolahnya jauh. 1) Sekolahnya dekat."
Badan murid SMP itu tinggi.,Badan murid SMP itu pendek.,0,Murid SMP itu setinggi tiang listrik.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Murid SMP itu setinggi tiang listrik., Options: 0) Badan murid SMP itu tinggi. 1) Badan murid SMP itu pendek."
Badan murid SMP itu tinggi.,Badan murid SMP itu pendek.,1,Murid SMP itu setinggi pohon taoge.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Murid SMP itu setinggi pohon taoge., Options: 0) Badan murid SMP itu tinggi. 1) Badan murid SMP itu pendek."
Dia beruntung.,Dia apes.,0,"Nasibnya bagai orang yang selamat dari tragedi mematikan,.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nasibnya bagai orang yang selamat dari tragedi mematikan,., Options: 0) Dia beruntung. 1) Dia apes."
Dia beruntung.,Dia apes.,1,"Nasibnya bagai orang yang kena tipu,.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nasibnya bagai orang yang kena tipu,., Options: 0) Dia beruntung. 1) Dia apes."
Dia melek teknologi.,Dia gaptek.,0,"Baginya, dunia digital adalah tempat bermain yang menyenangkan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Baginya, dunia digital adalah tempat bermain yang menyenangkan., Options: 0) Dia melek teknologi. 1) Dia gaptek."
Dia melek teknologi.,Dia gaptek.,1,"Baginya, dunia digital adalah rumah hantu yang penuh jebakan.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Baginya, dunia digital adalah rumah hantu yang penuh jebakan., Options: 0) Dia melek teknologi. 1) Dia gaptek."
Dia berpendirian teguh.,Dia tidak punya pendirian.,0,Pendiriannya bagai tak bisa digoyangkan angin.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pendiriannya bagai tak bisa digoyangkan angin., Options: 0) Dia berpendirian teguh. 1) Dia tidak punya pendirian."
Dia berpendirian teguh.,Dia tidak punya pendirian.,1,Pendiriannya bagai peraturan yang berubah-ubah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pendiriannya bagai peraturan yang berubah-ubah., Options: 0) Dia berpendirian teguh. 1) Dia tidak punya pendirian."
Dia bersikap seenaknya.,Dia bersikap hati-hati.,0,Dia berlagak seperti cucu yang punya jalan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia berlagak seperti cucu yang punya jalan., Options: 0) Dia bersikap seenaknya. 1) Dia bersikap hati-hati."
Dia bersikap seenaknya.,Dia bersikap hati-hati.,1,Dia berlagak seperti anak ayam yang baru menetas.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dia berlagak seperti anak ayam yang baru menetas., Options: 0) Dia bersikap seenaknya. 1) Dia bersikap hati-hati."
Tekad mereka besar.,Tekad mereka kecil.,0,Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat., Options: 0) Tekad mereka besar. 1) Tekad mereka kecil."
Tekad mereka besar.,Tekad mereka kecil.,1,Mereka mengikuti lomba seolah hanya untuk mengisi kuota.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mereka mengikuti lomba seolah hanya untuk mengisi kuota., Options: 0) Tekad mereka besar. 1) Tekad mereka kecil."
"Bersamanya, waktu berlalu dengan cepat.","Bersamanya, waktu berlalu dengan lambat.",0,Mengobrol dengannya terasa seperti menghabiskan satu lagu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengobrol dengannya terasa seperti menghabiskan satu lagu., Options: 0) Bersamanya, waktu berlalu dengan cepat. 1) Bersamanya, waktu berlalu dengan lambat."
"Bersamanya, waktu berlalu dengan cepat.","Bersamanya, waktu berlalu dengan lambat.",1,Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan., Options: 0) Bersamanya, waktu berlalu dengan cepat. 1) Bersamanya, waktu berlalu dengan lambat."
Tugas mahasiswa banyak.,Tugas mahasiswa sedikit.,0,Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika., Options: 0) Tugas mahasiswa banyak. 1) Tugas mahasiswa sedikit."
Tugas mahasiswa banyak.,Tugas mahasiswa sedikit.,1,Tugas mahasiswa bagaikan bisa dihitung jari.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tugas mahasiswa bagaikan bisa dihitung jari., Options: 0) Tugas mahasiswa banyak. 1) Tugas mahasiswa sedikit."
Bersosialisasi itu melelahkan.,Bersosialisasi itu menyenangkan.,0,"Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga.","Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga., Options: 0) Bersosialisasi itu melelahkan. 1) Bersosialisasi itu menyenangkan."
